Hero,Total Picks,Wins,Losses,Bans
Rubick,34,18,16,15
Tiny,30,15,15,18
Tusk,30,6,24,17
Treant Protector,23,14,9,31
Disruptor,23,13,10,7
Pangolier,21,15,6,24
Death Prophet,21,8,13,17
Phoenix,20,12,8,18
Mirana,20,9,11,11
Marci,18,11,7,16
Ember Spirit,17,9,8,41
Nature's Prophet,17,8,9,24
Drow Ranger,16,10,6,15
Mars,16,8,8,23
Shadow Fiend,14,7,7,23
Snapfire,13,7,6,10
Ursa,13,7,6,20
Crystal Maiden,13,6,7,2
Lina,12,8,4,59
Primal Beast,12,6,6,14
Broodmother,11,6,5,42
Centaur Warrunner,11,6,5,8
Magnus,10,7,3,14
Batrider,10,4,6,40
Silencer,10,3,7,6
Doom,10,1,9,21
Morphling,9,4,5,30
Dragon Knight,9,2,7,7
Leshrac,8,5,3,7
Slark,8,4,4,21
Clockwerk,8,3,5,3
Riki,7,6,1,9
Keeper of the Light,7,5,2,2
Brewmaster,7,4,3,6
Enchantress,7,3,4,4
Shadow Demon,6,4,2,3
Enigma,6,3,3,12
Faceless Void,6,3,3,23
Viper,6,3,3,31
Hoodwink,6,2,4,3
Sniper,6,2,4,15
Undying,6,1,5,1
Void Spirit,5,5,0,4
Puck,5,4,1,23
Tidehunter,5,4,1,9
Beastmaster,5,3,2,35
Kunkka,5,3,2,6
Dawnbreaker,5,2,3,3
Monkey King,5,2,3,21
Naga Siren,5,2,3,29
Spectre,5,2,3,20
Sven,5,2,3,1
Troll Warlord,5,2,3,2
Dark Seer,5,1,4,3
Timbersaw,4,3,1,4
Visage,4,3,1,0
Bane,4,2,2,1
Chaos Knight,4,2,2,1
Invoker,4,2,2,4
Lifestealer,4,2,2,17
Lion,4,2,2,0
Earthshaker,4,1,3,0
Lich,4,1,3,0
Storm Spirit,4,1,3,2
Shadow Shaman,3,3,0,0
Alchemist,3,2,1,3
Lone Druid,3,2,1,3
Nyx Assassin,3,1,2,4
Phantom Assassin,3,1,2,2
Templar Assassin,3,1,2,5
Zeus,3,0,3,2
Dark Willow,2,2,0,0
Legion Commander,2,2,0,4
Wraith King,2,2,0,0
Skywrath Mage,2,1,1,0
Techies,2,1,1,1
Necrophos,2,0,2,0
Terrorblade,2,0,2,6
Abaddon,1,1,0,2
Anti-Mage,1,1,0,8
Io,1,1,0,2
Jakiro,1,1,0,0
Luna,1,1,0,4
Phantom Lancer,1,1,0,4
Pudge,1,1,0,0
Tinker,1,1,0,0
Arc Warden,1,0,1,0
Bloodseeker,1,0,1,14
Dazzle,1,0,1,0
Grimstroke,1,0,1,0
Juggernaut,1,0,1,2
Queen of Pain,1,0,1,14
Slardar,1,0,1,0
Vengeful Spirit,1,0,1,0
Weaver,1,0,1,3
Winter Wyvern,1,0,1,0
Ancient Apparition,0,0,0,1
Axe,0,0,0,1
Earth Spirit,0,0,0,1
Lycan,0,0,0,4
Medusa,0,0,0,1
Night Stalker,0,0,0,2
Ogre Magi,0,0,0,1
Omniknight,0,0,0,1
Razor,0,0,0,1
