Hero,Total Picks,Wins,Losses,Bans
Treant Protector,33,18,15,17
Rubick,30,17,13,28
Tusk,27,15,12,26
Tiny,26,13,13,12
Snapfire,23,14,9,9
Mirana,19,12,7,14
Death Prophet,19,9,10,21
Nature's Prophet,18,13,5,16
Lina,18,9,9,43
Crystal Maiden,16,7,9,4
Clockwerk,14,6,8,9
Primal Beast,14,6,8,13
Ursa,14,6,8,24
Hoodwink,14,4,10,16
Lycan,13,7,6,25
Ember Spirit,12,6,6,40
Riki,11,10,1,9
Beastmaster,10,4,6,34
Pangolier,10,2,8,26
Doom,9,4,5,21
Bloodseeker,9,3,6,23
Phoenix,8,5,3,5
Batrider,8,3,5,41
Mars,8,3,5,7
Silencer,8,3,5,3
Skywrath Mage,8,3,5,4
Chaos Knight,8,2,6,1
Leshrac,8,2,6,7
Broodmother,7,5,2,53
Centaur Warrunner,7,5,2,1
Troll Warlord,7,3,4,13
Terrorblade,6,5,1,19
Naga Siren,6,3,3,33
Slark,6,3,3,20
Jakiro,6,1,5,0
Kunkka,5,4,1,3
Morphling,5,4,1,9
Pugna,5,4,1,0
Dark Seer,5,3,2,5
Monkey King,5,3,2,11
Sniper,5,3,2,14
Storm Spirit,5,3,2,8
Timbersaw,5,3,2,8
Viper,5,3,2,12
Marci,5,2,3,3
Legion Commander,5,1,4,11
Magnus,5,1,4,1
Pudge,5,1,4,8
Sven,5,1,4,3
Disruptor,4,4,0,0
Puck,4,3,1,7
Shadow Fiend,4,3,1,8
Enchantress,4,2,2,4
Undying,3,2,1,5
Visage,3,2,1,2
Faceless Void,3,1,2,10
Invoker,3,1,2,5
Dragon Knight,3,0,3,2
Grimstroke,3,0,3,0
Lone Druid,2,2,0,4
Outworld Destroyer,2,2,0,8
Underlord,2,2,0,2
Drow Ranger,2,1,1,13
Razor,2,1,1,1
Spirit Breaker,2,1,1,1
Weaver,2,1,1,2
Witch Doctor,2,1,1,1
Ogre Magi,2,0,2,0
Windranger,2,0,2,0
Zeus,2,0,2,1
Bane,1,1,0,0
Earth Spirit,1,1,0,0
Earthshaker,1,1,0,0
Enigma,1,1,0,0
Luna,1,1,0,0
Queen of Pain,1,1,0,6
Slardar,1,1,0,0
Spectre,1,1,0,10
Templar Assassin,1,1,0,3
Axe,1,0,1,0
Dark Willow,1,0,1,0
Juggernaut,1,0,1,0
Keeper of the Light,1,0,1,0
Lich,1,0,1,1
Lifestealer,1,0,1,5
Medusa,1,0,1,0
Nyx Assassin,1,0,1,1
Omniknight,1,0,1,0
Sand King,1,0,1,0
Shadow Demon,1,0,1,0
Vengeful Spirit,1,0,1,0
Void Spirit,1,0,1,1
Winter Wyvern,1,0,1,1
Wraith King,1,0,1,0
Abaddon,0,0,0,1
Ancient Apparition,0,0,0,1
Anti-Mage,0,0,0,1
Brewmaster,0,0,0,1
Dawnbreaker,0,0,0,2
Io,0,0,0,2
Tidehunter,0,0,0,8
Venomancer,0,0,0,1
