Hero,Total Picks,Wins,Losses,Bans
Rubick,48,27,21,21
Treant Protector,34,18,16,26
Tusk,25,13,12,23
Nature's Prophet,24,14,10,31
Lina,22,14,8,51
Tiny,21,12,9,10
Broodmother,21,11,10,51
Death Prophet,21,9,12,19
Pangolier,18,12,6,30
Undying,18,11,7,10
Riki,17,10,7,24
Mirana,16,9,7,14
Batrider,15,9,6,56
Hoodwink,15,4,11,7
Invoker,14,9,5,15
Naga Siren,14,7,7,35
Leshrac,13,8,5,29
Snapfire,13,6,7,5
Clockwerk,13,5,8,7
Ember Spirit,13,4,9,30
Crystal Maiden,12,6,6,4
Drow Ranger,12,6,6,21
Beastmaster,12,4,8,36
Disruptor,11,6,5,2
Phoenix,11,4,7,9
Pudge,10,8,2,7
Enigma,10,7,3,23
Slark,10,5,5,38
Dark Seer,9,4,5,23
Doom,9,4,5,9
Visage,8,5,3,8
Zeus,8,5,3,7
Ursa,8,4,4,34
Sniper,8,3,5,21
Terrorblade,8,2,6,13
Keeper of the Light,7,5,2,3
Tidehunter,7,5,2,3
Dragon Knight,7,3,4,3
Kunkka,7,3,4,8
Razor,7,3,4,5
Magnus,6,3,3,5
Silencer,6,3,3,4
Sven,6,2,4,0
Techies,6,2,4,3
Chaos Knight,6,1,5,9
Earth Spirit,6,1,5,1
Marci,6,1,5,1
Bloodseeker,5,3,2,46
Dark Willow,5,3,2,0
Puck,5,3,2,6
Spectre,5,3,2,10
Outworld Destroyer,5,2,3,7
Templar Assassin,5,2,3,9
Legion Commander,5,1,4,6
Lycan,5,1,4,9
Io,4,4,0,16
Brewmaster,4,3,1,4
Centaur Warrunner,4,2,2,8
Monkey King,4,2,2,18
Nyx Assassin,4,2,2,1
Primal Beast,4,2,2,8
Storm Spirit,4,2,2,3
Shadow Demon,4,1,3,2
Timbersaw,4,1,3,11
Enchantress,4,0,4,2
Mars,4,0,4,4
Omniknight,3,2,1,0
Faceless Void,3,1,2,7
Dawnbreaker,3,0,3,1
Huskar,2,2,0,14
Elder Titan,2,1,1,0
Lifestealer,2,1,1,3
Morphling,2,1,1,10
Queen of Pain,2,1,1,15
Skywrath Mage,2,1,1,0
Viper,2,1,1,15
Void Spirit,2,1,1,0
Weaver,2,1,1,1
Bane,2,0,2,0
Pugna,2,0,2,3
Abaddon,1,1,0,0
Earthshaker,1,1,0,0
Lion,1,1,0,0
Phantom Lancer,1,1,0,1
Sand King,1,1,0,0
Shadow Fiend,1,1,0,0
Spirit Breaker,1,1,0,1
Witch Doctor,1,1,0,0
Alchemist,1,0,1,0
Arc Warden,1,0,1,2
Axe,1,0,1,1
Chen,1,0,1,1
Gyrocopter,1,0,1,0
Jakiro,1,0,1,0
Medusa,1,0,1,0
Oracle,1,0,1,1
Underlord,1,0,1,1
Ancient Apparition,0,0,0,3
Anti-Mage,0,0,0,2
Bounty Hunter,0,0,0,1
Tinker,0,0,0,1
Windranger,0,0,0,1
Wraith King,0,0,0,1
